uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
51d4b6d3-a095-1aa0-e100-80009459e03a,JET MOENCHENGLADBACH GARTENSTR. 220,JET,GARTENSTR.,220,41236,MOENCHENGLADBACH,51.17841,6.44533,2014-03-18 16:45:31+01,{},2023-05-01
625a3954-c04d-4a34-a051-9a374b0ab37a,Braun Mineraloelvertrieb,,Linzer Straße,11,53604,Bad Honnef,50.643098,7.228529,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""07:00"",""endp"":""20:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:30"",""endp"":""17:30""}]}]}",2023-05-01
61f82d94-1280-4fbe-9c36-e3c40d6967ea,Aral Tankstelle,ARAL,Bergische Landstraße,605,40629,Düsseldorf,51.26051,6.908724,2014-03-18 16:45:31+01,{},2023-05-01
61f78721-d695-4d16-b048-55faadf67e45,Q1 Tankstelle,Q1,Auf der Höhe,35,47059,Duisburg,51.4418,6.75348,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""19:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""15:00""}]}]}",2023-05-01
61d78973-1b05-4f36-a631-c087db30fdcc,TotalEnergies Duesseldorf,TotalEnergies,Vennhauser Allee ,266,40627,Duesseldorf,51.214427,6.864853,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""06:30"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:30"",""endp"":""21:00""}]}]}",2023-05-01
61ccc531-65ac-46ae-b67f-69a38ce997fb,Iris Müller,Markant,Düsseldorfer Str.,2,47918,Tönisvorst,51.32227,6.46991,2014-03-18 16:45:31+01,{},2023-05-01
61af62ad-3d2c-468d-f9ff-d7dcedb65de7,CleanCar  AG NL 104,,St. Töniser Str. ,71,47803,Krefeld,51.3303101,6.5432678,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""07:30"",""endp"":""19:00""}]}]}",2023-05-01
61722e77-a9e4-4f5b-be42-a772cf018685,Esso Tankstelle,ESSO,MOENCHENGLADBACHER STR. 1, ,41372,NIEDERKRUECHTEN,51.212414,6.170299,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-7be79badcd27,star Tankstelle,STAR,Dingdener Straße,184,46395,Bocholt,51.816037,6.612123,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
6139c565-a8df-481f-9eba-04f58adecd64,"bft-Tankstelle Förster, Bad Honnef",bft,Linzer Str.,26,53604,Bad Honnef,50.6422408,7.2277192,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
3e49c006-9047-48be-af33-867812cb5e13,Aral Tankstelle,ARAL,Karnaper Straße,44,45329,Essen,51.51737,7.007558,2014-03-18 16:45:31+01,{},2023-05-01
6136122b-be06-409f-bc94-12ba3e2fd897,Shell Solingen Neuenhofer Str. 107,Shell,Neuenhofer Str.,107,42657,Solingen,51.157926,7.071984,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""06:00"",""endp"":""23:00""}]}]}",2023-05-01
608a2bf7-87b7-4a01-8bf7-4ac9712b5160,Shell Moers Roemerstr. 391,Shell,Roemerstr.,391,47441,Moers,51.438874,6.662787,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":224,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-7e4efd3f4d2a,star Tankstelle,STAR,Obere Lichtenplatzer Straße,365,42287,Wuppertal,51.244417,7.191535,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
