uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
1632cd96-06e0-41b5-b6fd-4850b1f30e8a,PM Nettetal Geldrische Str. 65a,PM,Geldrische Str.,65a,41334,Nettetal,51.339205,6.225826,2018-01-17 23:30:06+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
2b12d9cc-1fe0-4242-9413-6d7ef16d0047,PM Neukirchen-Vluyn Andreas-Braem-Str. 30,PM,Andreas-Braem-Str.,30,47506,Neukirchen-Vluyn,51.451485,6.580313,2018-01-17 23:30:06+01,{},2023-05-01
016b2d0f-53b1-4b42-bbbe-67dd063c5000,PM Straelen Gelderner Str. 47,PM,Gelderner Str.,47,47638,Straelen,51.448288,6.268201,2018-01-17 23:30:06+01,{},2023-05-01
ff75bc32-58c2-4cd9-b91f-82682c0c390e,"BAESWEILER, WILHELM-ROENTGEN-STR.",PM,WILHELM-ROENTGEN-STR. 1,,52499,BAESWEILER,50.918968,6.174575,2018-01-18 23:30:06+01,{},2023-05-01
5f506b6a-11c1-49f7-a0c9-ccfcf563d72d,PM Hueckelhoven Heerstr. 14,PM,Heerstr.,14,41836,Hueckelhoven,51.066308,6.187717,2018-01-18 23:30:06+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",2023-05-01
7efd7c52-bee0-43b7-ab8f-8a4e4bf904c8,PM Herzogenrath Kirchrather Str. 110-112,PM,Kirchrather Str.,110-112,52134,Herzogenrath,50.885836,6.109052,2018-01-18 23:30:06+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":224,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
65ba1bd3-8f64-4e2b-bf9f-f47b11612e33,"GEILENKIRCHEN, SITTARDER STR.",PM,SITTARDER STR. 120,,52511,GEILENKIRCHEN,50.972744,6.09217,2018-01-20 23:30:06+01,{},2023-05-01
772e8e53-b726-4b20-8878-347e085ab2f0,PM Eschweiler Hauptstr. 7-15,PM,Hauptstr.,7-15,52249,Eschweiler,50.828915,6.316911,2018-01-20 23:30:06+01,{},2023-05-01
30a0e83e-5132-4f28-8697-de81f7e38df9,Knauber (PM) Bonn Immenburgstr. 40,Knauber (PM),Immenburgstr.,40,53115,Bonn,50.732377,7.076646,2018-02-01 23:30:06+01,"{""overrides"":[{""startp"":""2021-04-30 23:59"",""endp"":""2100-01-01 00:00"",""is_close"":true}]}",2023-05-01
087bc6cf-fd2d-417a-98ad-725c51a6e6af,Kuster Energy,Kuster Energy,Bahnhofstraße,159,46562,Voerde,51.60319,6.70303,2018-02-06 23:30:06+01,{},2023-05-01
0ada6bf2-7ca4-4874-87c1-1f6321aff715,Freie SB Tankstelle,Freie Tankstelle,Eschstraße,95,48703,Stadtlohn,51.98569,6.90893,2018-02-20 23:30:06+01,{},2023-05-01
aef80359-bbe1-4689-8bd8-173eb89c5cf8,Shell Frechen A4 Frechen Nord ,Shell,A4 Frechen Nord,,50226,Frechen,50.929308,6.775256,2018-03-10 23:30:06+01,{},2023-05-01
a7de948a-b959-48fe-acd0-dd1238262756,TotalEnergies Soester BÃ¶rde Nord,TotalEnergies,BAB A44 Soester Boerde Nord,,59494,Soest,51.548508,8.13312,2018-03-15 23:30:06+01,{},2023-05-01
a9f7baef-80a8-4faa-bf8b-5d3b47082268,Shell Huenxe A3 Huenxe Ost ,Shell,A3 Huenxe Ost,,46569,Huenxe,51.635392,6.747369,2018-03-17 23:30:06+01,{},2023-05-01
